Date,Change
71-02,0
71-03,0
71-04,0
71-05,0
71-06,0
71-07,0
71-08,1
71-09,0
71-10,0
71-11,0
71-12,0
72-01,0
72-02,0
72-03,0
72-04,0
72-05,1
72-06,0
72-07,0
72-08,0
72-09,0
72-10,0
72-11,0
72-12,0
73-01,0
73-02,0
73-03,0
73-04,0
73-05,4
73-06,0
73-07,0
73-08,0
73-09,0
73-10,0
73-11,5
73-12,0
74-01,0
74-02,0
74-03,0
74-04,0
74-05,0
74-06,0
74-07,3
74-08,3
74-09,7
74-10,5
74-11,3
74-12,2
75-01,2
75-02,0
75-03,0
75-04,0
75-05,0
75-06,0
75-07,0
75-08,0
75-09,1
75-10,0
75-11,0
75-12,1
76-01,0
76-02,0
76-03,0
76-04,0
76-05,0
76-06,0
76-07,0
76-08,0
76-09,0
76-10,0
76-11,0
76-12,0
77-01,0
77-02,0
77-03,0
77-04,0
77-05,0
77-06,0
77-07,0
77-08,0
77-09,0
77-10,0
77-11,0
77-12,0
78-01,0
78-02,0
78-03,0
78-04,0
78-05,0
78-06,0
78-07,0
78-08,0
78-09,0
78-10,5
78-11,1
78-12,1
79-01,0
79-02,0
79-03,0
79-04,0
79-05,1
79-06,0
79-07,0
79-08,0
79-09,0
79-10,4
79-11,0
79-12,0
80-01,0
80-02,0
80-03,5
80-04,0
80-05,0
80-06,0
80-07,0
80-08,0
80-09,1
80-10,0
80-11,0
80-12,2
81-01,1
81-02,1
81-03,0
81-04,0
81-05,0
81-06,0
81-07,0
81-08,1
81-09,2
81-10,0
81-11,0
81-12,0
82-01,0
82-02,0
82-03,0
82-04,0
82-05,0
82-06,0
82-07,0
82-08,0
82-09,0
82-10,1
82-11,1
82-12,1
83-01,1
83-02,0
83-03,0
83-04,0
83-05,0
83-06,1
83-07,1
83-08,0
83-09,0
83-10,1
83-11,0
83-12,0
84-01,0
84-02,1
84-03,0
84-04,0
84-05,0
84-06,0
84-07,0
84-08,2
84-09,0
84-10,0
84-11,2
84-12,3
85-01,0
85-02,0
85-03,0
85-04,0
85-05,0
85-06,0
85-07,0
85-08,0
85-09,0
85-10,0
85-11,0
85-12,0
86-01,0
86-02,0
86-03,0
86-04,0
86-05,0
86-06,0
86-07,2
86-08,0
86-09,1
86-10,0
86-11,0
86-12,0
87-01,1
87-02,0
87-03,1
87-04,1
87-05,0
87-06,0
87-07,0
87-08,0
87-09,0
87-10,9
87-11,2
87-12,5
88-01,2
88-02,0
88-03,0
88-04,1
88-05,0
88-06,0
88-07,0
88-08,0
88-09,0
88-10,0
88-11,0
88-12,0
89-01,0
89-02,0
89-03,0
89-04,0
89-05,0
89-06,0
89-07,0
89-08,0
89-09,0
89-10,1
89-11,0
89-12,0
90-01,2
90-02,0
90-03,0
90-04,0
90-05,0
90-06,0
90-07,1
90-08,7
90-09,2
90-10,4
90-11,1
90-12,0
91-01,2
91-02,0
91-03,2
91-04,1
91-05,1
91-06,1
91-07,0
91-08,2
91-09,0
91-10,0
91-11,2
91-12,1
92-01,2
92-02,0
92-03,0
92-04,3
92-05,0
92-06,1
92-07,0
92-08,0
92-09,0
92-10,0
92-11,0
92-12,0
93-01,0
93-02,1
93-03,0
93-04,1
93-05,0
93-06,0
93-07,0
93-08,0
93-09,0
93-10,0
93-11,1
93-12,0
94-01,0
94-02,1
94-03,1
94-04,2
94-05,0
94-06,0
94-07,0
94-08,0
94-09,0
94-10,0
94-11,1
94-12,1
95-01,0
95-02,0
95-03,0
95-04,0
95-05,0
95-06,0
95-07,1
95-08,0
95-09,0
95-10,1
95-11,1
95-12,2
96-01,2
96-02,0
96-03,1
96-04,0
96-05,0
96-06,1
96-07,5
96-08,1
96-09,0
96-10,0
96-11,0
96-12,1
97-01,1
97-02,2
97-03,1
97-04,2
97-05,2
97-06,0
97-07,1
97-08,0
97-09,1
97-10,4
97-11,3
97-12,1
98-01,3
98-02,1
98-03,2
98-04,1
98-05,0
98-06,2
98-07,2
98-08,7
98-09,9
98-10,10
98-11,2
98-12,8
99-01,7
99-02,6
99-03,5
99-04,7
99-05,5
99-06,5
99-07,5
99-08,3
99-09,4
99-10,7
99-11,4
99-12,4
00-01,10
00-02,9
00-03,13
00-04,16
00-05,15
00-06,10
00-07,11
00-08,5
00-09,10
00-10,12
00-11,11
00-12,12
01-01,11
01-02,12
01-03,13
01-04,15
01-05,9
01-06,7
01-07,7
01-08,8
01-09,7
01-10,8
01-11,7
01-12,4
02-01,7
02-02,6
02-03,5
02-04,6
02-05,9
02-06,8
02-07,13
02-08,12
02-09,9
02-10,11
02-11,10
02-12,5
03-01,8
03-02,2
03-03,5
03-04,2
03-05,4
03-06,2
03-07,3
03-08,2
03-09,4
03-10,4
03-11,2
03-12,1
04-01,1
04-02,2
04-03,3
04-04,3
04-05,1
04-06,1
04-07,3
04-08,2
04-09,0
04-10,2
04-11,0
04-12,0
05-01,1
05-02,0
05-03,0
05-04,1
05-05,0
05-06,0
05-07,0
05-08,0
05-09,0
05-10,0
05-11,0
05-12,0
06-01,1
06-02,0
06-03,0
06-04,0
06-05,2
06-06,4
06-07,1
06-08,1
06-09,0
06-10,1
06-11,1
06-12,0
07-01,0
07-02,1
07-03,1
07-04,0
07-05,0
07-06,0
07-07,0
07-08,6
07-09,1
07-10,1
07-11,6
07-12,2
08-01,4
08-02,3
08-03,7
08-04,4
08-05,1
08-06,5
08-07,6
08-08,3
08-09,9
08-10,15
08-11,14
08-12,12
09-01,11
09-02,7
09-03,11
09-04,8
09-05,5
09-06,4
09-07,5
09-08,1
09-09,0
09-10,3
09-11,1
09-12,0
10-01,1
10-02,1
10-03,0
10-04,2
10-05,7
10-06,6
10-07,3
10-08,1
10-09,2
10-10,1
10-11,0
10-12,1
11-01,1
11-02,1
11-03,0
11-04,1
11-05,0
11-06,2
11-07,2
11-08,10
11-09,7
11-10,8
11-11,7
11-12,1
12-01,0
12-02,0
12-03,0
12-04,1
12-05,3
12-06,4
12-07,1
12-08,0
12-09,1
12-10,1
12-11,2
